ISO_639_3	Script	Base_Characters
aae	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇËabcdefghijklmnopqrstuvwxyzçë
aaq	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÔabcdefghijklmnopqrstuvwxyzô
aar	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
aat	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÄÇÈÉËÍÏÓÖÚÜÝabcdefghijklmnopqrstuvwxyzáäçèéëíïóöúüý
aat	Greek	ΑΒBͿΓΔDΕΖΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧαβbϳγδdεζθικλμνξοπρσςτυφχ
abe	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÔabcdefghijklmnopqrstuvwxyzô
abi	Latin	ABCDEFGIJKLMNOPRSTUWYaáâǎbcdeéêěfgiíîǐjklmnoóôǒprstuúûǔwyÁÂÉÊÍÎÓÔÚÛĚƆƐƖƲǍǏǑǓɔɛɩʋ
abk	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЏҚҞҨҬҲҴҶҼҾӘӠӶԤабвгдежзийклмнопрстуфхцчшщъыьэюяџқҟҩҭҳҵҷҽҿәӡӷԥ
abn	Latin	AẠBḄDḌEẸFGHIỊJKLMNOỌPRSTUỤVWYZaạbḅdḍeẹfghiịjklmnoọprstuụvwyz
abq	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁабвгдежзийклмнопрстуфхцчшщъыьэюяё
abr	Latin	ABDEFGHIKLMNOPRSTUWYƐƆabdefghiklmnoprstuwyɛɔ
abv	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
ace	Latin	ABCDEGHIJKLMNOPRSTWYÉÈËÔÖabcdeghijklmnoprstwyéèëôö'
ach	Latin	ABCDEGIJKLMNŊOPRTUWYabcdegijklmnŋoprtuwy
acm	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپگة
acq	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
acu	Latin	ABCDEGHIJKMNOPRSTUWYÃÁẼĨÍŨÚÑFabcdefghijkmnoprstuwy'ãáẽĩíũúñ
acw	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباپڤ
acx	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
acz	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄËÏÖÜabcdefghijklmnopqrstuvwxyzäëïöü
ada	Latin	ABDEƐFGHIJKLMNOƆPSTUVWYZabdeɛfghijklmnoɔpstuvwyz
ade	Latin	ABDEFGHIKLMNOPRSTUWYabdefghiklmnoprstuwyŊŋƆƐƖƲɔɛɩʋ
ady	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
aeb	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
aec	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپیچةى
aer	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
afb	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپگ
afr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÈÊËÎÏÖÔÛÜÝabcdefghijklmnopqrstuvwxyzáéèêëîïöôûüý
agq	Latin	ABCDEFGHIKLMNOPSTUVWYZÀÂÈÊÌÎÒÔÙÛĀĒĚĪŊŌŪǍǏǑǓƆƐƗɄabcdefghiklmnopstuvwyzàâèêìîòôùûāēěīŋōūǎǐǒǔɔɛɨʉʔ
agr	Latin	ABCDEGHIJKMNPRSTUWYÃẼĨŨÍabcdeghijkmnprstuwyãẽĩũí
agx	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
aha	Latin	ABDEFGHIKLMNOPRSTUVWYZabdefghiklmnoprstuvwyzƆƐƖƲɔɛɩʋ
aht	Latin	ABCDEGHIKLNOSTUXYZabcdeghiklnostuxyzŁłʼ
aii	Syriac	ܟܝܛܚܙܘܗܕܓܒܐܬܫܪܩܨܦܥܣܢܡܠ
aii	Cyrillic	АБВГԀЕӘЖЗИЈКЛQLМНПРСТTУХҺЧШЫDабвгԁеәжзијклqlмнпрстtухһчшыd
aii	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
ain	Katakana	゠ァアィイゥウェエォオカガキギクグケゲコゴサザシジスズセゼソゾタダチヂッツヅテデトドナニヌネノハバパヒビピフブプヘベペホボポマミムメモャヤュユョヨラリルレロヮワヰヱヲンヴヵヶヷヸヹヺ・ーヽヾㇷ
ain	Latin	ABCDEGHIKLNOSTUXYZabcdeghiklnostuxyz
aiq	Arabic	ءأؤئابتثجحخدذرزسشصضطظعغفقلمنهوپچژکگی
ajg	Latin	ABCDEFGHIJKLMNOPRSTUVWXYZabcdefghijklmnoprstuvwxyzÀÁÈÉÌÍÒÓÙÚàáèéìíòóùúŊŋƆƉƐƔƷɔɖɛɣʒ
ajp	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباڤپچ
ale	Latin	ABDFGHIKLMNOQRSTUVWXYZabdfghiklmnoqrstuvwxyzĜĝ
aln	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇËabcdefghijklmnopqrstuvwxyzçë
alq	Latin	ABCDEGHIJKMNOPSTWYZabcdeghijkmnopstwyzÀÈÌÒàèìò
als	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇËabcdefghijklmnopqrstuvwxyzçë
alt	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁЈҤӦӰабвгдежзийклмнопрстуфхцчшщъыьэюяёјҥӧӱ
amc	Latin	ACHIJMNOPRSTUVXYZachijmnoprstuvxyz
ame	Latin	ABCEGHJLMNOPQRSTYËÑabceghjlmnopqrstyëñ'
amh	Geʽez	ሀሁሂሃሄህሆኰኲኳኴኵለሉሊላሌልሎዀዂዃዄዅሐሑሒሓሔሕሖወዉዊዋዌውዎመሙሚማሜምሞዐዑዒዓዔዕዖረሩሪራሬርሮዘዙዚዛዜዝዞሰሱሲሳሴስሶዠዡዢዣዤዥዦሸሹሺሻሼሽሾየዩዪያዬይዮቀቁቂቃቄቅቆደዱዲዳዴድዶቈቊቋቌቍጀጁጂጃጄጅጆቐቑቒቓቔቕቖገጉጊጋጌግጎቘቚቛቜቝጐጒጓጔጕበቡቢባቤብቦጠጡጢጣጤጥጦተቱቲታቴትቶጨጩጪጫጬጭጮቸቹቺቻቼችቾጰጱጲጳጴጵጶነኑኒናኔንኖጸጹጺጻጼጽጾኘኙኚኛኜኝኞፈፉፊፋፌፍፎአኡኢኣኤእኦፐፑፒፓፔፕፖከኩኪካኬክኮቨቩቪቫቬቭቮ
ami	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
amr	Latin	ABEGHIJKMNOPRSTUYabeghijkmnoprstuy'
anc	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyzƁƊƏɓɗəʼḤḥṆṇẒẓ
ani	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
anw	Latin	ABCDEFGHIJKLMNOPQRSUWYabcdefghijklmnopqrsuwyÑÖÜñöü
any	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyzƆƐƖƲɔɛɩʋ
aoz	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÊÍÓÚÛabcdefghijklmnopqrstuvwxyzáéêíóúû
apc	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
apd	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتبای
apn	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyzÀÃÊÔÕàãêôõĨĩŨũẼẽỲỳỸỹ
aqc	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭӀабвгдежзийклмнопрстуфхцчшщъыьэӏ
arb	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
arg	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÍÑÓÚabcdefghijklmnopqrstuvwxyzáéíñóú
arl	Latin	AEHIJKMNOPRSTUWYƗaehijkmnoprstuwyɨ
arn	Latin	ABCDEFGIJKLMNOPQRSTUWXYZÜÑabcdefgijklmnopqrstuwxyzüñ
arq	Arabic	يوهنملكقفغعظطضصشسزرذدخحجثتباةء
