# Manual overrides for Combined language family hierarchy.
# ISO-only groupings that Glottolog does not use need explicit Combined parent/child fixes.
# Only Combined.parentLanguageCode is modified; ISO and Glottolog sources are unchanged.
parentLanguageCode	childLanguageCode	notes
sqj	sqi	Albanian macrolanguage in Albanian family
qwe	que	Quechuan macrolanguage in Quechuan family
euq	eus	Basque language in Basque family
map	fox	Formosan in Austronesian
fox	east2493	East Formosan in Formosan
fox	atay1246	Atayalic in Formosan
fox	pwn	Paiwan in Formosan
fox	bnn	Bunun in Formosan
fox	dru	Rukai in Formosan
fox	nort2899	Northwest Formosan in Formosan
fox	tsou1250	Tsouic in Formosan
fox	pyu	Puyuma in Formosan
fox	west2572	Western Plains Austronesian in Formosan
sdv	nilo1247	Nilotic in Eastern Sudanic
omv	gong1255	Ta-Ne-Omotic in Omotic
omv	sout2845	South Omotic in Omotic
sai	ayma1253	Aymaran in South American Indian
sai	arau1255	Araucanian in South American Indian
ssa	fura1235	Furan in Nilo-Saharan
ssa	maba1274	Maban in Nilo-Saharan
nic	dogo1299	Dogon in Niger-Kordofanian
sai	kank1244	Kankuamo in South American Indian
sai	quil1251	Quillacinga in South American Indian
sai	barb1265	Barbacoan in South American Indian
sai	yana1258	Yanacona in South American Indian
aus	pama1250	Pama-Nyungan in Australian
aus	gunw1250	Gunwinyguan in Australian
aus	west2434	Western Daly in Australia
sai	guah1252	Guahiboan in South American Indian
sai	yri	Yari in South American Indian
sai	tuca1253	Tucanoan in South American Indian
sai	nada1235	Nadahup in South American Indian
sai	ticu1244	Ticuna-Yuri in South American Indian
sai	pbb	Paez in South American Indian
sai	cca	Cauca in South American Indian
sai	cby	Carabayo in South American Indian
sai	pij	Pijao in South American Indian
sai	choc1280	Chocoan in South American Indian
sai	cari1283	Cariban in South American Indian
sai	huit1251	Huitotoan in South American Indian
sai	kbh	Camsá in South American Indian
sai	yae	Yaruro in South American Indian
sai	bora1262	Boran in South American Indian
sai	sali1297	Saliban in South American Indian
sai	con	Cofán in South American Indian
sai	peba1241	Peba-Yagua in South American Indian
sai	pui	Puinave in South American Indian
sai	kaku1242	Kakua-Nukak in South American Indian
sai	ano	Andoque in South American Indian
sai	tit	Tinigua in South American Indian
sai	ana	Andaqui in South American Indian
